"Rank","Gene","p_value"
6450,"CAPN10-DT",4.60827851696915e-05
6451,"THAP3",4.62065076010836e-05
6452,"LINC01940",4.62323456871536e-05
6453,"RN7SL364P",4.62384393007502e-05
6454,"LIN52",4.63284947356322e-05
6455,"MEIS3",4.63399575872554e-05
6456,"CHST7",4.64056750699067e-05
6457,"SIPA1L3",4.64120062317028e-05
6458,"CARS1-AS1",4.64653715100783e-05
6459,"AGAP6",4.65049300268567e-05
6460,"C17orf107",4.65174576317561e-05
6461,"CAPN12",4.65216148657381e-05
6462,"ENSG00000254131",4.65626761269799e-05
6463,"ENSG00000270154",4.66431663035739e-05
6464,"ENSG00000277687",4.66587450715965e-05
6465,"ENSG00000286975",4.67113987262961e-05
6466,"TSPYL4",4.6821793882464e-05
6467,"GBAP1",4.6836885658283e-05
6468,"SVIP",4.68715106388385e-05
6469,"ENSG00000253539",4.6906117487246e-05
6470,"ENSG00000262265",4.6943494295504e-05
6471,"ENSG00000279930",4.69782823119222e-05
6472,"DUBR",4.69795193114544e-05
6473,"ENSG00000259083",4.69955841042854e-05
6474,"RAB28P5",4.70655161405229e-05
6475,"TXN2P1",4.71039653926457e-05
6476,"MTHFD1L",4.71155703217675e-05
6477,"ENSG00000233845",4.71280401633989e-05
6478,"LINC00899",4.71811048666754e-05
6479,"FTH1P11",4.71868441896131e-05
6480,"CERS2",4.72542115674506e-05
6481,"AOC4P",4.72625223103863e-05
6482,"ENSG00000223450",4.73397341632112e-05
6483,"GCOM1",4.73578705690134e-05
6484,"ENSG00000280069",4.73624884915562e-05
6485,"ENSG00000259962",4.74185013467691e-05
6486,"ZNF542P",4.74252835808839e-05
6487,"ENSG00000280057",4.74413831346234e-05
6488,"TUBBP1",4.75099333888722e-05
6489,"CDC16",4.77400407763306e-05
6490,"EFHC1",4.782350381744e-05
6491,"FAM136DP",4.79112922090218e-05
6492,"LRRK1",4.80036144204392e-05
6493,"ELK4",4.80632402204847e-05
6494,"ENSG00000261560",4.81827247798224e-05
6495,"ALDH7A1",4.82547800849056e-05
6496,"PKD1P3",4.82740641368844e-05
6497,"EXOSC7",4.83029756901466e-05
6498,"FTL",4.83055806089055e-05
6499,"RBM38",4.8349767383974e-05
6500,"SKIV2L",4.8356827524184e-05
6501,"CFAP20DC",4.84266178498886e-05
6502,"HEPHL1",4.84702810370375e-05
6503,"ENSG00000270012",4.85398035735685e-05
6504,"ENSG00000278351",4.86548853037147e-05
6505,"ENSG00000278576",4.8797882637449e-05
6506,"HHIPL2",4.8814694826782e-05
6507,"INTS6-AS1",4.88146975956819e-05
6508,"ENSG00000262833",4.88370461026754e-05
6509,"TOB2P1",4.88408631709129e-05
6510,"HLCS",4.89115151725068e-05
6511,"NRN1L",4.89384760974666e-05
6512,"ZNF117",4.89727513085041e-05
6513,"SLC25A25-AS1",4.90947572120347e-05
6514,"ENSG00000277901",4.90998539158609e-05
6515,"ITK",4.91274651167672e-05
6516,"AKAP10",4.91302843016836e-05
6517,"HOXB6",4.91917273592376e-05
6518,"SLC16A2",4.92090376153734e-05
6519,"IGLV4-69",4.9234252411553e-05
6520,"ENSG00000279589",4.94096382784215e-05
6521,"PLP2",4.94395922057919e-05
6522,"ENSG00000286121",4.94438463613539e-05
6523,"ENSG00000269947",4.94775077443234e-05
6524,"MIR181A2HG",4.95375233531952e-05
6525,"FCF1P5",4.96195724882564e-05
6526,"RNU6-593P",4.96404180817792e-05
6527,"TMED4",4.97301116096271e-05
6528,"ENSG00000288818",4.97565499103414e-05
6529,"KLHDC1",4.97670287092605e-05
6530,"ENSG00000268810",4.98871622076029e-05
6531,"ZNF454",4.9909304257681e-05
6532,"ENSG00000287357",4.99177752363088e-05
6533,"CYB5R2",4.99525568471231e-05
6534,"SH3BP4",4.99689862053653e-05
6535,"ENSG00000228076",4.99772894162081e-05
6536,"THOC1",4.99909183968083e-05
6537,"RPL4P4",4.99934543539775e-05
6538,"ENSG00000289342",5.00110311721964e-05
6539,"ENSG00000232675",5.00132304747108e-05
6540,"ENSG00000270091",5.00738372449665e-05
6541,"DNAH6",5.00987248158923e-05
6542,"CD80",5.01304259767705e-05
6543,"CCDC42",5.02212450223713e-05
6544,"GOLGA8B",5.02661799153835e-05
6545,"HDHD2",5.02854300172013e-05
6546,"SOD1P3",5.03708934786603e-05
6547,"FBXO34-AS1",5.03904102474116e-05
6548,"RN7SL748P",5.04778405475758e-05
6549,"PEX3",5.06764391995159e-05
6550,"ENSG00000272750",5.07676572424175e-05
6551,"GAP43",5.07921165760669e-05
6552,"ENSG00000287811",5.08092333816242e-05
6553,"PRC1-AS1",5.08558923688103e-05
6554,"MTHFS",5.08778328503479e-05
6555,"VGLL4",5.09395457047481e-05
6556,"ENSG00000232732",5.09909044403562e-05
6557,"SEMA3F",5.10098757332492e-05
6558,"IFT81",5.10199111372151e-05
6559,"SLC9A3R1",5.11217194220163e-05
6560,"ENSG00000230826",5.1138133905214e-05
6561,"ENSG00000272788",5.12407364546394e-05
6562,"ENSG00000287892",5.12624129434677e-05
6563,"PATJ-DT",5.14711296507299e-05
6564,"NEFM",5.15098087362695e-05
6565,"MTND2P26",5.15378684326047e-05
6566,"PTPRS",5.15689878325013e-05
6567,"RBM8A",5.1631218572962e-05
6568,"CCIN",5.16437615859182e-05
6569,"ENSG00000279742",5.17487927867189e-05
6570,"BCL2L13",5.18894701783528e-05
6571,"RGS19",5.1966953223185e-05
6572,"LINC02245",5.19843180211093e-05
6573,"ENSG00000248318",5.20044261590164e-05
6574,"ENSG00000271917",5.20061314103041e-05
6575,"ENSG00000237076",5.20426070919243e-05
6576,"TMEM114",5.21336832712505e-05
6577,"ENSG00000233785",5.22445985485215e-05
6578,"GIGYF1",5.22883245240366e-05
6579,"ZCCHC2",5.2507239670133e-05
6580,"RAB5B",5.26075168318024e-05
6581,"MUC1",5.28075549881613e-05
6582,"ENSG00000279880",5.28904382185561e-05
6583,"IGKV3-11",5.29580399005976e-05
6584,"ENSG00000287129",5.29589671744977e-05
6585,"ENPP6",5.29657939607959e-05
6586,"MYH14",5.29810436622021e-05
6587,"TBX1",5.30341014183974e-05
6588,"MYL1",5.30400380922128e-05
6589,"ENSG00000280205",5.31269455174727e-05
6590,"SLC13A3",5.3220456150828e-05
6591,"LAMTOR5P1",5.33174616824656e-05
6592,"SHMT2",5.34387101112797e-05
6593,"SNORD94",5.35078325242298e-05
6594,"CCDC78",5.37700092760849e-05
6595,"STMN2",5.38572573997544e-05
6596,"ENSG00000259744",5.40190128620136e-05
6597,"ALDH18A1",5.40340039022553e-05
6598,"KDM4A",5.41315306027266e-05
6599,"ENSG00000272604",5.41625724505782e-05
6600,"ARPC1A",5.42171870956268e-05
6601,"PARP11-AS1",5.4321962943411e-05
6602,"DLL4",5.44182240198189e-05
6603,"RLF",5.4485792924042e-05
6604,"RNF167",5.45322599797069e-05
6605,"ENSG00000228086",5.45570211380237e-05
6606,"EXOSC3P1",5.45739276877215e-05
6607,"NDUFS4",5.46356596172189e-05
6608,"YPEL1",5.47500859755002e-05
6609,"ENSG00000234981",5.48171942827119e-05
6610,"ENSG00000287630",5.4821435535348e-05
6611,"SNX3P1X",5.49057701417123e-05
6612,"LTN1",5.49388821900894e-05
6613,"ENSG00000280417",5.4970351773304e-05
6614,"ENSG00000267504",5.49936596830342e-05
6615,"TACC2",5.50960396827492e-05
6616,"ISCA1",5.51784209054989e-05
6617,"BOP1",5.52100999799916e-05
6618,"GCSAM",5.52635456404806e-05
6619,"SPATA6L",5.53563532158408e-05
6620,"CYBB",5.54604260273592e-05
6621,"SYK",5.54738945671965e-05
6622,"ENSG00000288936",5.55346433594188e-05
6623,"ENSG00000285976",5.55477924224197e-05
6624,"GART",5.55898272730619e-05
6625,"FUCA2",5.56264803941877e-05
6626,"RHPN1",5.5650665859624e-05
6627,"DYNC2I2",5.56890460616566e-05
6628,"ENSG00000227355",5.57346358717454e-05
6629,"GNLY",5.57437134670733e-05
6630,"LINC02544",5.58316327012703e-05
6631,"CPSF6",5.58485654347885e-05
6632,"ENSG00000283913",5.58939314737777e-05
6633,"RNA5SP345",5.5914576897844e-05
6634,"CNIH3",5.59941611128995e-05
6635,"SEPTIN8",5.60282267990484e-05
6636,"IKBKB",5.60429608178036e-05
6637,"ENSG00000274766",5.60819864736148e-05
6638,"ZNF252P",5.60837448251589e-05
6639,"LINC01186",5.62427716232185e-05
6640,"DLGAP1-AS5",5.62668045848837e-05
6641,"C19orf73",5.63984920031787e-05
6642,"CTC-338M12.4",5.64120935297651e-05
6643,"ENSG00000225213",5.64164717646859e-05
6644,"ENSG00000269924",5.6528908765072e-05
6645,"GOLGA8Q",5.65650109925792e-05
6646,"ENSG00000267283",5.65762549245123e-05
6647,"RETREG1",5.66613709244504e-05
6648,"NBDY",5.66949502514971e-05
6649,"APPL1",5.67002678392596e-05
6650,"HUS1B",5.6802116557292e-05
6651,"SNORA19",5.69064420484153e-05
6652,"ENSG00000267694",5.69407661992172e-05
6653,"TFCP2",5.71659627990367e-05
6654,"CIAO3",5.7269207718378e-05
6655,"ENSG00000274629",5.72973762679136e-05
6656,"ENSG00000288750",5.73374905704232e-05
6657,"TRAV38-2DV8",5.74541040075298e-05
6658,"COL9A2",5.7477512398193e-05
6659,"VPS11",5.74838632033398e-05
6660,"ENSG00000258162",5.761433152574e-05
6661,"ENSG00000286504",5.77552531249403e-05
6662,"HNRNPA1P53",5.78508590966228e-05
6663,"CHRNA10",5.78784949231367e-05
6664,"METTL17",5.79061799525794e-05
6665,"ZNF816",5.7911793332069e-05
6666,"ENSG00000278816",5.79528097273487e-05
