"Rank","Gene","p_value"
502,"BNIP2",1.6798346263327e-08
503,"PBRM1",1.68299112768208e-08
504,"EID2",1.7719119295498e-08
505,"CTDP1",1.77820026146252e-08
506,"GPD2",1.8304312952919e-08
507,"ENSG00000272842",1.83474177526687e-08
508,"ENSG00000267130",1.85590550029067e-08
509,"ENSG00000260577",1.8571589884462e-08
510,"TNS1",1.86684804211011e-08
511,"SFXN2",1.88399332850793e-08
512,"MICALL2",1.90601778618379e-08
513,"ENSG00000251259",1.95760539091542e-08
514,"UQCRFS1",2.00428913510651e-08
515,"ENSG00000271551",2.00454159120985e-08
516,"FHL2",2.01397784669165e-08
517,"B3GALT4",2.02557674372855e-08
518,"TMEM67",2.03389219389026e-08
519,"MDM2",2.04628233945431e-08
520,"NUP35",2.09499838879311e-08
521,"TMCC2",2.15457882189409e-08
522,"MSRB1",2.15830762034072e-08
523,"CBX4",2.16832738466065e-08
524,"STBD1",2.16868253427488e-08
525,"FMOD",2.19496165246643e-08
526,"NDUFA8",2.22000116578534e-08
527,"ARHGAP23",2.22758545922345e-08
528,"EPOP",2.23938115300413e-08
529,"TWSG1",2.26413536054906e-08
530,"MAPKAPK3",2.27065264038506e-08
531,"MAP1A",2.29561510021162e-08
532,"WDR97",2.3104236704125e-08
533,"CORO6",2.32147291392348e-08
534,"ENSG00000273007",2.35524040953955e-08
535,"ENSG00000273355",2.36065721941248e-08
536,"WT1",2.36925369935731e-08
537,"SRSF2",2.37884676747056e-08
538,"TNC",2.4666341227484e-08
539,"SEPHS2",2.49255175137732e-08
540,"FOXO6",2.50012823800692e-08
541,"SHMT1",2.51843808361671e-08
542,"TPSB2",2.54367270903517e-08
543,"AXL",2.55239832821206e-08
544,"TVP23A",2.55310706462849e-08
545,"ZNF485",2.55333382881978e-08
546,"MAP7D1",2.57397882413335e-08
547,"PFN4",2.5788072272985e-08
548,"AMIGO2",2.60726840138816e-08
549,"CTSK",2.61484853947636e-08
550,"NECTIN2",2.70906069275069e-08
551,"LINC00475",2.81258584981131e-08
552,"SDF2",2.83413799721738e-08
553,"PLCXD2",2.84880287131953e-08
554,"LYPD6",2.87238405347917e-08
555,"ZYX",2.87638191045834e-08
556,"HSPB8",2.87668835754133e-08
557,"SLC18A2",2.87849188857635e-08
558,"ELAVL2",2.89681863715333e-08
559,"ADGRE5",2.92934653166796e-08
560,"RPS6KB2",2.93721136183848e-08
561,"ISM1",2.95221507935595e-08
562,"KIAA1328",2.9836929138949e-08
563,"FLJ31104",3.00429870910711e-08
564,"SLC7A2-IT1",3.03027779957707e-08
565,"CDAN1",3.04694738461489e-08
566,"CT66",3.05992475977472e-08
567,"XYLB",3.0704329418943e-08
568,"GPR61",3.07927882562606e-08
569,"MAT1A",3.10098012108441e-08
570,"MMP19",3.11178393543808e-08
571,"GDNF-AS1",3.11705803380902e-08
572,"MAPK1",3.13065395523795e-08
573,"ENSG00000233928",3.14087921535564e-08
574,"ENSG00000272343",3.14937722824789e-08
575,"ENSG00000286833",3.16158542195279e-08
576,"ANO5",3.16481743115986e-08
577,"LINC00574",3.17075551973283e-08
578,"AP2A1",3.17297483172569e-08
579,"TPSD1",3.21433998070206e-08
580,"MARCHF9",3.23078128364208e-08
581,"MEDAG",3.23425827737484e-08
582,"NAT9",3.23502536979034e-08
583,"ENSG00000287817",3.2516810585328e-08
584,"TMEM116",3.27100539465856e-08
585,"ENSG00000285931",3.28781118828463e-08
586,"RNF26",3.29486256118195e-08
587,"COA1",3.33991554258182e-08
588,"C1RL-AS1",3.34513260427555e-08
