"Rank","Gene","p_value"
170,"FBLN2",0.00361318532411669
171,"TSPAN12",0.00362379663702271
172,"TMEM156",0.00364451708807777
173,"CD52",0.00372573733630674
174,"NELL2",0.00374551053020253
175,"ENSG00000237349",0.00376139219139986
176,"OR52N4",0.0037653416239199
177,"TMEM246-AS1",0.00383762403985988
178,"TMEM185A",0.00385325739613714
179,"KCNK1",0.00387560181142759
180,"SLITRK4",0.00389339695006669
181,"ENSG00000244313",0.00391595789382779
182,"CACNA1S",0.00393148581121409
183,"ABCB6",0.00395054472753723
184,"PSEN1",0.00395501489968623
185,"TBC1D24",0.00397344737304362
186,"KIAA2013",0.00397375430892741
187,"ENSG00000272656",0.00397691426769535
188,"SUCLG2-AS1",0.0039915918333708
189,"NAT1",0.00399657243972821
190,"IL23A",0.00402755851996953
191,"NNAT",0.00404148893101108
192,"ICA1",0.00404848614133947
193,"CACNA1G-AS1",0.00404936740437936
194,"ENSG00000226871",0.00405552184222051
195,"SNX20",0.00406101129268638
196,"RPL9",0.00407373042002578
197,"PADI6",0.00410798474972398
198,"RPS7",0.00418471488347408
199,"ENSG00000278982",0.00418884860106092
200,"L3MBTL4",0.00420142280456402
201,"ISCA1P1",0.00421498226896763
202,"DNASE2",0.0042165485611938
203,"AHRR",0.00426865402320983
204,"ZC2HC1B",0.0042883474814673
205,"ENSG00000254315",0.00432235100183774
206,"TTC9",0.00433212448729679
207,"TATDN1",0.00436467964257914
208,"RPS3A",0.0043689657844789
209,"ENSG00000254810",0.00438162110797738
210,"ENSG00000229996",0.004405746382106
211,"MAP3K1",0.00443384664604938
212,"RPS14",0.00444136561454522
213,"PBX1-AS1",0.00449708939325626
214,"FAM238A",0.00451924186866557
215,"OLFM2",0.0045302875960185
216,"ASTE1",0.00453591615004238
217,"SH2D1B",0.00455700881903937
218,"RPL24",0.00458162072998456
219,"ENSG00000259287",0.00464286364581211
220,"RPS7P10",0.00466146064538774
221,"ENSG00000264067",0.00467471454130228
222,"TRPM4",0.00470125398146177
223,"PBXIP1",0.00470777592654674
224,"ENSG00000223849",0.00473860245511059
225,"GRAP2",0.00474647266704655
226,"ENSG00000228436",0.00475579882930013
227,"ENSG00000241962",0.00478611919609618
228,"ENSG00000274346",0.00479974467448659
229,"RPL41",0.00482141755637019
230,"RAB15",0.00482516000981079
231,"ENSG00000275322",0.00482763707143331
232,"RPL32P32",0.00487267637466905
233,"PIK3R6",0.00488271776512942
234,"RPL23AP53",0.00490049504375766
235,"ENSG00000286796",0.00490632584930357
236,"RPL7",0.00492120866111927
237,"ENSG00000270870",0.00496135956205133
238,"GRIN2D",0.00499605527600044
239,"DBN1",0.00500306118262753
240,"ENSG00000287823",0.00500361575141288
241,"RPS21",0.00500575450560297
242,"ORC1",0.0050081451073776
243,"ENSG00000274624",0.00504727009026049
244,"RPL8",0.00505669151923155
245,"MYH13",0.00509353744608589
246,"ENSG00000258681",0.00510124558343221
247,"ENSG00000273180",0.00512634564508652
248,"MIR7848",0.00514255290313075
249,"ENSG00000279846",0.00517671422520962
250,"RPS17",0.00518007843196233
251,"AACSP1",0.0051825313575711
252,"ENSG00000280247",0.00519122564056953
253,"BAK1P1",0.00520179531319288
254,"TMEM266",0.00521295468620853
255,"ITGA6",0.00521526884996782
256,"LINC01909",0.00523523966189941
257,"FGF11",0.00523778125136493
