"Rank","Gene","p_value"
1089,"ARFGAP3",5.05997941563396e-05
1090,"ENSG00000287119",5.07076483909283e-05
1091,"KLHL32",5.07254284491308e-05
1092,"LUADT1",5.09363629453259e-05
1093,"ZNF501",5.10512473782197e-05
1094,"PNRC1",5.10595372299175e-05
1095,"COLEC11",5.11555822218726e-05
1096,"MMADHC-DT",5.11776558524408e-05
1097,"IKZF4",5.13361219561017e-05
1098,"RARA",5.15292647814806e-05
1099,"ZNF603P",5.16116780238753e-05
1100,"GTDC1",5.17363377538148e-05
1101,"SNAPC3",5.17606026965216e-05
1102,"GDI2",5.18953262456209e-05
1103,"HMBOX1",5.1917440414724e-05
1104,"TMEM147",5.20727209625588e-05
1105,"JADE2",5.21787379085715e-05
1106,"ZNF644",5.23122671207006e-05
1107,"BAIAP2",5.2320362251122e-05
1108,"UVRAG",5.23505285196707e-05
1109,"POMGNT2",5.24747029010244e-05
1110,"MGC27382",5.26961455976336e-05
1111,"CDA",5.28623160139066e-05
1112,"SIPA1L1-AS1",5.29178853953156e-05
1113,"ATF4",5.2932223957918e-05
1114,"GNA15",5.30792775883526e-05
1115,"ADAT3",5.30807480289643e-05
1116,"GASK1A",5.31352269432807e-05
1117,"ABLIM1",5.31639947707198e-05
1118,"SYCP2L",5.31864311106791e-05
1119,"PSMD10",5.32265119881605e-05
1120,"ZNHIT1",5.32650558727094e-05
1121,"PLIN2",5.3278453349521e-05
1122,"RFX7",5.33430993190518e-05
1123,"ELK4",5.35916979348598e-05
1124,"C6orf132",5.36494028388274e-05
1125,"NCOA1",5.36498370723206e-05
1126,"AAR2",5.36833145957835e-05
1127,"ENSG00000215014",5.3705075990604e-05
1128,"KCNMB3",5.38587346196589e-05
1129,"RUNDC3B",5.39270914902383e-05
1130,"SLC35A4",5.40406802364861e-05
1131,"DCUN1D3",5.40641145100399e-05
1132,"HCG15",5.42130762030239e-05
1133,"TMEM43",5.42235925657353e-05
1134,"RUNX1T1",5.43558547687821e-05
1135,"ZKSCAN2",5.43984049696988e-05
1136,"NAP1L1",5.44461457048675e-05
1137,"THAP9",5.45135649614895e-05
1138,"ZNF496",5.45755856103071e-05
1139,"CDC42EP4",5.47940075459667e-05
1140,"ENSG00000250509",5.49730314123171e-05
1141,"AZI2",5.50319807981749e-05
1142,"SYAP1",5.51012207808129e-05
1143,"UQCRC1",5.54297356272351e-05
1144,"LINC01724",5.54944748343442e-05
1145,"PLSCR3",5.55089997657291e-05
1146,"NPDC1",5.55413502441866e-05
1147,"ENSG00000288958",5.5558636495335e-05
1148,"COX10",5.56784504728797e-05
1149,"ENSG00000276980",5.57264126345283e-05
1150,"VASN",5.59999803175574e-05
1151,"VPS33B",5.60646696785778e-05
1152,"ENSG00000261654",5.60982602421713e-05
1153,"PCLAF",5.61176037745242e-05
1154,"LRRC46",5.62173456403944e-05
1155,"CASC19",5.62630443346222e-05
1156,"ENSG00000260588",5.64825086841604e-05
1157,"UBN1",5.65556236754976e-05
1158,"ZNF682",5.65642700916337e-05
1159,"BBC3",5.65850463078124e-05
1160,"ENSG00000289606",5.66322638179796e-05
1161,"LINC01960",5.66574949844822e-05
1162,"GSK3B",5.68633313961659e-05
1163,"PARP16",5.69687806934106e-05
1164,"KATNBL1",5.7011995977444e-05
1165,"TENT5B",5.70195159442015e-05
1166,"ARHGEF2",5.70279570805426e-05
1167,"APOL6",5.70411606892364e-05
1168,"ZNF354A",5.71231416664063e-05
1169,"ENSG00000280432",5.72035318735881e-05
1170,"ENDOU",5.73686747309779e-05
1171,"CNPPD1",5.73892150294966e-05
1172,"DDX28",5.74998297789262e-05
1173,"FMNL2",5.75546796256874e-05
1174,"CCNC",5.75840810890923e-05
1175,"COL8A1",5.7882422779593e-05
1176,"ZNF420",5.80700743237383e-05
1177,"MON1B",5.80762969230075e-05
1178,"PGAM1P5",5.85702768954294e-05
1179,"SPRR3",5.87174457387154e-05
1180,"H1-3",5.89501374577595e-05
1181,"PHC1",5.91511231234466e-05
1182,"PTGFRN",5.95728558400132e-05
1183,"GBP1P1",5.97429929001916e-05
1184,"SMIM4",6.00015750448587e-05
1185,"TIMP4",6.00706742008429e-05
1186,"PGF",6.01688215646591e-05
1187,"CUBN",6.03518564919289e-05
1188,"FAM229B",6.03847124999518e-05
1189,"SP2",6.04254983888234e-05
1190,"AKAP6",6.04596764431232e-05
1191,"CYP2R1",6.05828254961475e-05
1192,"ENSG00000289044",6.06628843782321e-05
1193,"ETFB",6.08434336950904e-05
1194,"ANKRD13B",6.08539840373695e-05
1195,"CIDECP1",6.09283741266217e-05
1196,"ENSG00000264078",6.11176308661893e-05
1197,"MRFAP1L1",6.11766555036527e-05
1198,"TMPRSS11E",6.13457041276424e-05
1199,"CDK13",6.14466619013596e-05
1200,"ACOT12",6.17076117739945e-05
1201,"RARA-AS1",6.18181028201091e-05
1202,"EMP2",6.21215170052026e-05
1203,"CLEC4A",6.22477684937012e-05
1204,"H2AW",6.23089306633573e-05
1205,"ABHD8",6.24831223722081e-05
1206,"KCTD6",6.24898364315042e-05
1207,"ENSG00000228998",6.24913456069874e-05
1208,"ENSG00000279207",6.2646791816694e-05
1209,"KLHDC7B",6.2765045194192e-05
1210,"BRD4",6.30443761721236e-05
1211,"ZSCAN21",6.30829163596782e-05
1212,"LINC02871",6.32839102498274e-05
1213,"UAP1L1",6.33145045931598e-05
1214,"RBMXL1",6.3339251673376e-05
1215,"ENSG00000232327",6.33748908938705e-05
1216,"FLRT1",6.36141149164868e-05
1217,"KLF4",6.37014613806033e-05
1218,"FGF14",6.37056301375233e-05
1219,"PRKCD",6.37772908987103e-05
1220,"FKBP10",6.38523120112075e-05
1221,"TRIM7",6.38958860395526e-05
1222,"ELAPOR2",6.39709193394226e-05
1223,"RP9",6.39932452763584e-05
1224,"LSM14A",6.40535186035832e-05
1225,"LPIN1",6.4073132338077e-05
1226,"SLC6A4",6.40981472552114e-05
1227,"TLK1",6.43785869866231e-05
1228,"PIP4P1",6.45358423357878e-05
1229,"LTBP2",6.48243807061147e-05
1230,"RCAN3",6.49836166604778e-05
1231,"ZNF131",6.50427854333687e-05
1232,"DCTN2",6.50688652437595e-05
1233,"ENSG00000239467",6.53755419453849e-05
1234,"PLD6",6.54938804266896e-05
1235,"VN1R2",6.55076512504472e-05
1236,"MRC1",6.58323442352668e-05
1237,"LINC00877",6.60978523357807e-05
1238,"PLCD1",6.61060158180002e-05
1239,"ZC3H10",6.61276974437813e-05
1240,"CCDC15-DT",6.62455920960096e-05
1241,"GBP1",6.62853607246182e-05
1242,"ENSG00000287902",6.63651446627071e-05
1243,"ATXN10",6.64275144802525e-05
1244,"ENSG00000262172",6.64699417941582e-05
1245,"ENSG00000242790",6.67049062788486e-05
1246,"ZNF830",6.71838349090023e-05
1247,"LINC00545",6.72427378079693e-05
1248,"CTBP1-DT",6.72839510803141e-05
1249,"ZCCHC2",6.72976019945498e-05
1250,"UBQLN2",6.73165511756591e-05
1251,"ENSG00000261474",6.75239136141447e-05
1252,"PARP6",6.75480550161942e-05
1253,"LINC01203",6.77508644733423e-05
1254,"RIPK1",6.77655921633543e-05
1255,"PSMB4",6.77823311212513e-05
1256,"LINC00189",6.80818399580096e-05
1257,"TMCC2",6.82051784568652e-05
1258,"TRMT5",6.82255874238996e-05
1259,"SUMO3",6.82338450482443e-05
1260,"FEZ2",6.83213974882721e-05
1261,"NSUN4",6.85100024246364e-05
1262,"MEGF6",6.86259673125738e-05
1263,"PRSS1",6.86950028319651e-05
1264,"DYRK3-AS1",6.89388578914391e-05
1265,"RRH",6.90371624505171e-05
1266,"XKR3",6.90387878859576e-05
1267,"IGKV1-17",6.91083621243168e-05
1268,"IAH1",6.91398148919896e-05
1269,"ENSG00000273199",6.91621569146208e-05
1270,"MACIR",6.95959569755027e-05
1271,"SRGN",6.96267852230896e-05
1272,"YY1AP1",6.96337413029492e-05
1273,"CCNB3",6.96940899785081e-05
1274,"ENSG00000280649",6.98220612470227e-05
1275,"UOX",6.9958674715992e-05
1276,"ENSG00000272667",7.00471142014429e-05
1277,"RNF133",7.02079227618034e-05
1278,"KMT2E",7.02413787424297e-05
1279,"ENSG00000230929",7.03523292036243e-05
1280,"TMEM251",7.04956016726061e-05
1281,"ADAR",7.05466449642943e-05
1282,"ENSG00000257761",7.05576741986713e-05
1283,"RNF214",7.06582060531062e-05
1284,"IFIT2",7.06895591276691e-05
1285,"POLH-AS1",7.08309206340369e-05
1286,"CEP120",7.09385804061155e-05
1287,"IFNGR1",7.09781242658475e-05
1288,"MIR4453HG",7.11196804940785e-05
1289,"DLG3",7.11557876216347e-05
1290,"ATP8A1",7.14078619041824e-05
1291,"ENSG00000254404",7.15846173882734e-05
